verso,vsid,latin,AB,AEP,JL,LLA,MAC,NPC,PF,RBN
310,c5s_m4o_uep,trunca,∅,sem,∅,sem,sem,sem,sem,∅
310,em8_bx5_aq8,pedum,∅,sem,∅,sem,∅,sem,sem,∅
310,bqw_l7f_mtg,primo,∅,sem,∅,OM,∅,sem,sem,∅
310,sr9_jnd_npx,mox,∅,sem,∅,OM,sem,sem,sem,∅
310,idv_nwg_s2c,stridentia,∅,∅,sema,∅,met,sem,∅,∅
310,m75_hbl_pik,pennis,∅,sem,∅,sem,∅,sem,sem,∅
311,lg7_zlj_ce7,miscentur,∅,sem,∅,sem,sem,sem,sem,∅
311,e2d_fkf_mni,tenuem,∅,OM,∅,OM,∅,OM,OM,∅
311,wwg_llg_s2c,"que 
            magis magis",∅,sem,∅,sem,∅,OM,sem,∅
311,sr0_kgw_jgq,aera,∅,∅,∅,∅,sem,sem,sem,∅
311,mov_ylc_m6d,carpunt,∅,sem,∅,sem,OM,sem,sem,∅
312,a41_11d_t2c,donec,∅,∅,∅,sem,∅,∅,OM,∅
312,zn1_gb3_s2c,aestivis,∅,sem,∅,OM,∅,∅,sem,∅
312,fo3_ry8_nig,effusus,∅,sem,∅,sem,sem,sem,sem,∅
312,hm1_aa5_cly,nubibus,∅,sem,∅,sem,∅,sem,sem,∅
312,l28_kz0_w74,imber,∅,sem,∅,sem,∅,sem,sem,∅
313,hm1_eh3_irs,erupere,∅,sem,∅,OM,sem,OM,sem,∅
313,pyg_la5_yns,nervo,∅,OM,∅,OM,∅,OM,sem,∅
313,bri_ive_i9m,pulsante,∅,OM,∅,OM,sem,OM,sem,∅
313,f9r_cg1_rax,sagittae,∅,sem,∅,sem,∅,sem,sem,∅
314,q74_jn0_lqv,prima,∅,sem,∅,OM,OM,sem,∅,∅
314,q3n_p4b_s2c,leves,sint,∅,∅,∅,OM,∅,∅,sem
314,xhr_l90_xd7,ineunt,∅,sem,∅,OM,sem,sem,sem,∅
314,crd_w1b_tk5,quando,∅,sem,∅,OM,OM,OM,OM,∅
314,l4r_o9t_tir,proelia,∅,sem,∅,OM,sem,OM,sem,∅
314,scw_myg_s2c,Parthi,∅,∅,∅,∅,∅,sem,∅,∅
315,ebp_mx9_sno,deus,∅,∅,∅,∅,∅,sem,∅,∅
315,pdw_jpr_nmx,Musae,∅,sem,∅,∅,OM,sem,∅,∅
315,r31_lgs_v3c,nobis extudit,sem,∅,∅,∅,∅,sem,met,∅
315,b4a_d00_fut,artem,∅,sem,∅,sem,sem,sem,sem,∅
316,pxx_c3s_v3c,Unde,∅,∅,∅,∅,sem,sem,OM,∅
316,q4h_5gs_v3c,nova,∅,sem,∅,∅,sem,OM,OM,∅
316,hhn_1hs_v3c,ingressus,sem,sem,sem,sem,sem,∅,∅,sint
316,ox2_kv8_t3c,hominum,∅,sem,∅,OM,OM,OM,sem,∅
316,vsw_yhs_v3c,experientia cepit?,sem,∅,sem,sem,sem,sint,sem,∅
